geolocation_zip_code_prefix,geolocation_state,geolocation_lat,geolocation_lng,geolocation_region
1001,SP,-23.550189776551765,-46.634023555904214,Sudeste
1002,SP,-23.54814573176355,-46.63497921074498,Sudeste
1003,SP,-23.54899372481316,-46.635731309975874,Sudeste
1004,SP,-23.549798842277003,-46.6347569437897,Sudeste
1005,SP,-23.549456199830747,-46.63673294803691,Sudeste
1006,SP,-23.550101811452866,-46.636136735174176,Sudeste
1007,SP,-23.550046202351673,-46.63725145963765,Sudeste
1008,SP,-23.546001749383464,-46.63588592135779,Sudeste
1009,SP,-23.546835208320854,-46.6364906953122,Sudeste
1010,SP,-23.546389438369268,-46.635226081509046,Sudeste
1011,SP,-23.546908640251115,-46.63558202636042,Sudeste
1012,SP,-23.547789733146864,-46.63485900505736,Sudeste
1013,SP,-23.547142028323904,-46.63423580006205,Sudeste
1014,SP,-23.545912805690424,-46.633615371244936,Sudeste
1015,SP,-23.547665749383476,-46.631558570722675,Sudeste
1016,SP,-23.54897640702995,-46.63235192955856,Sudeste
1017,SP,-23.549531271947856,-46.63102384555222,Sudeste
1018,SP,-23.55092851790901,-46.63243146837754,Sudeste
1019,SP,-23.551774137807588,-46.63089338270139,Sudeste
1020,SP,-23.55233565155142,-46.63004970984574,Sudeste
1021,SP,-23.543000459064807,-46.632143233862486,Sudeste
1022,SP,-23.544921826153427,-46.63193133561195,Sudeste
1023,SP,-23.542330784361457,-46.63137340438761,Sudeste
1024,SP,-23.54140143278026,-46.62990400057277,Sudeste
1025,SP,-23.540291945676326,-46.63092805941945,Sudeste
1026,SP,-23.53965712727096,-46.63188421270581,Sudeste
1027,SP,-23.538082328385332,-46.630668675067795,Sudeste
1028,SP,-23.535932541180532,-46.63355514575826,Sudeste
1029,SP,-23.54137304898053,-46.633415988443026,Sudeste
1030,SP,-23.539549291753428,-46.63302325151353,Sudeste
1031,SP,-23.541905853440447,-46.63508761691669,Sudeste
1032,SP,-23.540124454559958,-46.635193543797676,Sudeste
1033,SP,-23.5392714370778,-46.63587808421484,Sudeste
1034,SP,-23.542515317419948,-46.63736744880091,Sudeste
1035,SP,-23.541614488738958,-46.64154914252655,Sudeste
1036,SP,-23.54164845233629,-46.64144327735932,Sudeste
1037,SP,-23.545411016454086,-46.63892437204837,Sudeste
1038,SP,-23.543907379627683,-46.63999380609391,Sudeste
1039,SP,-23.54137085777194,-46.639165288851196,Sudeste
1040,SP,-23.541028179008823,-46.638324694969405,Sudeste
1041,SP,-23.54390458746036,-46.64004648644473,Sudeste
1042,SP,-23.544852949531748,-46.640410456031695,Sudeste
1043,SP,-23.545765991186382,-46.64150246454141,Sudeste
1044,SP,-23.545598238423416,-46.641452670153164,Sudeste
1045,SP,-23.542345366178562,-46.64252697570119,Sudeste
1046,SP,-23.545930039168788,-46.6439975177819,Sudeste
1047,SP,-23.54618760708176,-46.64106743356166,Sudeste
1048,SP,-23.54711318884073,-46.63983987489639,Sudeste
1049,SP,-23.547011236746005,-46.63916570493306,Sudeste
1050,SP,-23.549229163580517,-46.64303023455156,Sudeste
1101,SP,-23.528286860378213,-46.631957535031056,Sudeste
1102,SP,-23.525571406955734,-46.63028748439394,Sudeste
1103,SP,-23.53546844605214,-46.63029077338347,Sudeste
1104,SP,-23.534952165368537,-46.62957039061347,Sudeste
1105,SP,-23.53409398177586,-46.62907768017333,Sudeste
1106,SP,-23.53022077513783,-46.6282212595308,Sudeste
1107,SP,-23.52608789203137,-46.629589887186604,Sudeste
1108,SP,-23.527232171325497,-46.630354418199865,Sudeste
1109,SP,-23.524624899587646,-46.627103243360565,Sudeste
1120,SP,-23.530162529753113,-46.6395114116631,Sudeste
1121,SP,-23.52786665899882,-46.635256920492864,Sudeste
1122,SP,-23.531130596538613,-46.638324826141904,Sudeste
1123,SP,-23.5291645437106,-46.63658239267475,Sudeste
1124,SP,-23.528221233825747,-46.63309540109692,Sudeste
1125,SP,-23.527288449571635,-46.64016432350875,Sudeste
1126,SP,-23.527066549337565,-46.6391527868084,Sudeste
1127,SP,-23.525480803366627,-46.64159548852642,Sudeste
1128,SP,-23.523786738657147,-46.642209664552546,Sudeste
1129,SP,-23.524051385464382,-46.645073040129965,Sudeste
1130,SP,-23.524830820867123,-46.64492992157745,Sudeste
1131,SP,-23.522379737671034,-46.64310784736644,Sudeste
1132,SP,-23.521539879304328,-46.64873923331726,Sudeste
1133,SP,-23.52042428170985,-46.65332230946677,Sudeste
1134,SP,-23.518899939878278,-46.65269033643668,Sudeste
1135,SP,-23.526190426729194,-46.650970041202214,Sudeste
1136,SP,-23.523986920181724,-46.66135135045781,Sudeste
1137,SP,-23.522851480322114,-46.65280923153936,Sudeste
1138,SP,-23.52245582393925,-46.65525390366422,Sudeste
1139,SP,-23.520724956071753,-46.665938971441705,Sudeste
1140,SP,-23.520438443709033,-46.6692371684404,Sudeste
1141,SP,-23.520310325905555,-46.66643901391753,Sudeste
1142,SP,-23.519934305152642,-46.6251300217966,Sudeste
1144,SP,-23.52357274929584,-46.67242459028444,Sudeste
1150,SP,-23.532953023597276,-46.658245942661374,Sudeste
1151,SP,-23.53164158468372,-46.65628875324909,Sudeste
1152,SP,-23.529884845741275,-46.65527643333265,Sudeste
1153,SP,-23.529930846298743,-46.65354908690434,Sudeste
1154,SP,-23.530535897249937,-46.65929570388057,Sudeste
1155,SP,-23.529072884025155,-46.66331995168207,Sudeste
1156,SP,-23.52892113830292,-46.66643724514501,Sudeste
1189,SP,-23.532108255063783,-46.63839470107914,Sudeste
1200,SP,-23.53156777324141,-46.649869077846425,Sudeste
1201,SP,-23.536082809674177,-46.6495393904693,Sudeste
1202,SP,-23.533742576459318,-46.64828045105448,Sudeste
1203,SP,-23.53596465666131,-46.64529955632679,Sudeste
1204,SP,-23.53599263946852,-46.644089822607214,Sudeste
1205,SP,-23.536490774893963,-46.642641966809634,Sudeste
1206,SP,-23.535863685117462,-46.64281871336397,Sudeste
1207,SP,-23.539175560135188,-46.63865415001012,Sudeste
1208,SP,-23.53866049566226,-46.63898204602016,Sudeste
1209,SP,-23.540695255566053,-46.641582935722816,Sudeste
1210,SP,-23.540039340558916,-46.64209131081345,Sudeste
1211,SP,-23.53757657410565,-46.64883790118901,Sudeste
1212,SP,-23.538268511790665,-46.63942263256764,Sudeste
1213,SP,-23.53650149461516,-46.64036116340708,Sudeste
1214,SP,-23.538842493961866,-46.64523045306012,Sudeste
1215,SP,-23.536167399914945,-46.64754185786534,Sudeste
1216,SP,-23.533127593964494,-46.64783380745067,Sudeste
1217,SP,-23.532657557836473,-46.648883992986285,Sudeste
1218,SP,-23.531249798864053,-46.64832514105406,Sudeste
1219,SP,-23.541288814286368,-46.64569860301067,Sudeste
1220,SP,-23.54451401110975,-46.64603990221943,Sudeste
1221,SP,-23.544867697472093,-46.64828171537102,Sudeste
1222,SP,-23.54594454397298,-46.64936937401519,Sudeste
1223,SP,-23.544088116558573,-46.64858211715019,Sudeste
1224,SP,-23.54177865147578,-46.65242233963952,Sudeste
1225,SP,-23.539786021213725,-46.64913883151014,Sudeste
1226,SP,-23.53801010890567,-46.65271926812754,Sudeste
1227,SP,-23.546201912968794,-46.658384582734,Sudeste
1228,SP,-23.54518937928602,-46.657610856988505,Sudeste
1229,SP,-23.53890160984344,-46.657291130376805,Sudeste
1230,SP,-23.53631040591802,-46.65711200863415,Sudeste
1231,SP,-23.53695040742613,-46.659255892784934,Sudeste
1232,SP,-23.536428003530187,-46.657426011378035,Sudeste
1233,SP,-23.53624654014997,-46.66166521796583,Sudeste
1234,SP,-23.539689562251557,-46.66424403546398,Sudeste
1235,SP,-23.53671427686228,-46.66466630391698,Sudeste
1236,SP,-23.543550224431343,-46.66741941090643,Sudeste
1237,SP,-23.543234451012324,-46.66872440228904,Sudeste
1238,SP,-23.54257139685113,-46.65424333104065,Sudeste
1239,SP,-23.54309527008478,-46.63105919621764,Sudeste
1240,SP,-23.54379184344285,-46.65854396252987,Sudeste
